Name,University Name,Age,course,How frequently do you use AI?,Which Generative AI tool do you use?,Should curriculum be modified keeping AI in mind?
Aditya Nair,Anna Univ.,18,arts,Never,DALL-E,No
Reyansh Mehta,Anna Univ.,18,science,Rarely (A few times a semester at most),DALL-E,No
Reyansh Singh,Univ. Of Delhi,22,science,Rarely (A few times a semester at most),Others,Yes
Ira Kumar,Univ. Of Delhi,25,arts,Never,Midjourney,Yes
Anika Mishra,Jadavpur Univ.,19,science,Often (At least once a week),Midjourney,Yes
Ayaan Sharma,Anna Univ.,20,science,Rarely (A few times a semester at most),Bing AI,Yes
Ishaan Gupta,IIsc,21,science,Often (At least once a week),Midjourney,Yes
Lakshmi Chopra,Univ. Of Delhi,19,others,Often (At least once a week),Others,No
Arjun Das,IIsc,20,arts,Never,Bing AI,Yes
Aadhya Joshi,Anna Univ.,24,science,Sometimes (At least once a month),DALL-E,No
Aditya Rao,Anna Univ.,18,science,Rarely (A few times a semester at most),Research Rabbit,No
Vihaan Desai,Univ. Of Delhi,20,science,Sometimes (At least once a month),Elicit,Yes
Aadhya Chopra,Univ. Of Delhi,23,commerce,Often (At least once a week),Grammarly,No
Shanaya Joshi,Jadavpur Univ.,23,others,Sometimes (At least once a month),Research Rabbit,Yes
Aarav Pandey,Anna Univ.,19,others,Never,DALL-E,No
Ananya Gupta,VIT(Vellore),25,arts,Never,DALL-E,No
Aarohi Joshi,Manipal Univ.,20,commerce,Never,Others,No
Ayaan Kumar,IIsc,19,science,Often (At least once a week),ChatGPT,Yes
Ananya Nair,Univ. Of Delhi,24,science,Often (At least once a week),Bing AI,No
Aditya Bose,IIsc,25,others,Often (At least once a week),Others,Yes
Vihaan Reddy,Anna Univ.,22,commerce,Often (At least once a week),Elicit,No
Sai Bose,Anna Univ.,22,commerce,Sometimes (At least once a month),DALL-E,Yes
Sai Rao,Univ. Of Delhi,20,arts,Often (At least once a week),Bing AI,Yes
Vivaan Mishra,Univ. Of Delhi,23,others,Sometimes (At least once a month),Midjourney,Yes
Lakshmi Gupta,Jadavpur Univ.,19,commerce,Often (At least once a week),Grammarly,Yes
Vihaan Patel,Anna Univ.,21,arts,Sometimes (At least once a month),Research Rabbit,No
Diya Bose,IIsc,19,others,Rarely (A few times a semester at most),ChatGPT,No
Reyansh Mishra,Univ. Of Delhi,22,arts,Often (At least once a week),Elicit,Yes
Ayaan Mehta,IIsc,24,science,Often (At least once a week),Elicit,No
Sai Reddy,Anna Univ.,18,science,Often (At least once a week),Midjourney,No
Anika Mehta,Anna Univ.,18,arts,Sometimes (At least once a month),Grammarly,No
Aarav Reddy,Univ. Of Delhi,23,science,Never,Bing AI,No
Reyansh Iyer,Univ. Of Delhi,24,science,Never,Research Rabbit,No
Saanvi Iyer,Jadavpur Univ.,23,science,Never,Bing AI,Yes
Ayaan Das,Anna Univ.,20,others,Rarely (A few times a semester at most),Research Rabbit,Yes
Vivaan Kumar,VIT(Vellore),21,arts,Rarely (A few times a semester at most),Elicit,No
Vihaan Naidu,Manipal Univ.,21,science,Sometimes (At least once a month),ChatGPT,No
Pihu Patel,IIsc,19,science,Sometimes (At least once a month),DALL-E,No
Aarav Naidu,Univ. Of Delhi,18,science,Rarely (A few times a semester at most),Research Rabbit,No
Reyansh Bose,IIsc,22,commerce,Sometimes (At least once a month),Bing AI,No
Krishna Das,Anna Univ.,19,others,Often (At least once a week),Elicit,Yes
Reyansh Das,Anna Univ.,20,others,Often (At least once a week),Elicit,No
Shanaya Chopra,Univ. Of Delhi,22,arts,Often (At least once a week),DALL-E,Yes
Reyansh Nair,Univ. Of Delhi,20,commerce,Often (At least once a week),ChatGPT,No
Reyansh Patel,Jadavpur Univ.,23,science,Often (At least once a week),ChatGPT,No
Ishaan Reddy,Anna Univ.,20,science,Often (At least once a week),DALL-E,No
Anika Mehta,IIsc,22,others,Often (At least once a week),ChatGPT,No
Aarav Nair,Univ. Of Delhi,20,commerce,Rarely (A few times a semester at most),Grammarly,No
Anika Rao,IIsc,25,commerce,Rarely (A few times a semester at most),DALL-E,No
Ananya Rao,Anna Univ.,20,arts,Never,Others,No
Saanvi Kumar,Anna Univ.,22,others,Often (At least once a week),Elicit,Yes
Saanvi Kapoor,Univ. Of Delhi,23,commerce,Never,Grammarly,No
Aarohi Bose,Univ. Of Delhi,19,arts,Never,DALL-E,Yes
Ishaan Kumar,Jadavpur Univ.,18,others,Sometimes (At least once a month),ChatGPT,No
Ira Kapoor,Anna Univ.,25,arts,Sometimes (At least once a month),ChatGPT,Yes
Aditya Reddy,VIT(Vellore),20,science,Often (At least once a week),Others,Yes
Krishna Desai,Manipal Univ.,23,science,Often (At least once a week),Research Rabbit,No
Aditya Reddy,IIsc,18,arts,Often (At least once a week),Bing AI,Yes
Aditya Naidu,Univ. Of Delhi,25,others,Rarely (A few times a semester at most),ChatGPT,No
Krishna Desai,IIsc,21,commerce,Rarely (A few times a semester at most),ChatGPT,Yes
Aarav Singh,Anna Univ.,23,arts,Rarely (A few times a semester at most),Midjourney,No
Aarohi Kumar,Anna Univ.,24,others,Often (At least once a week),Midjourney,Yes
Aarohi Rao,Univ. Of Delhi,21,arts,Rarely (A few times a semester at most),Elicit,No
Vivaan Mishra,Univ. Of Delhi,19,science,Rarely (A few times a semester at most),Research Rabbit,Yes
Shanaya Mishra,Jadavpur Univ.,20,science,Often (At least once a week),Others,No
Arjun Kapoor,Anna Univ.,23,arts,Sometimes (At least once a month),DALL-E,No
Anika Das,IIsc,19,science,Rarely (A few times a semester at most),Others,No
Sai Gupta,Univ. Of Delhi,18,science,Often (At least once a week),Midjourney,No
Ananya Das,IIsc,22,science,Rarely (A few times a semester at most),DALL-E,Yes
Diya Reddy,Anna Univ.,24,others,Never,Research Rabbit,No
Saanvi Kapoor,Anna Univ.,20,arts,Sometimes (At least once a month),Bing AI,Yes
Ishaan Desai,Univ. Of Delhi,20,science,Never,ChatGPT,Yes
Anika Naidu,Univ. Of Delhi,19,science,Often (At least once a week),Bing AI,Yes
Reyansh Das,Jadavpur Univ.,23,science,Never,Grammarly,No
Vihaan Joshi,Anna Univ.,24,commerce,Rarely (A few times a semester at most),Research Rabbit,Yes
Ishaan Sharma,VIT(Vellore),19,others,Often (At least once a week),Bing AI,No
Aarav Bose,Manipal Univ.,18,others,Never,Others,Yes
Diya Nair,IIsc,24,arts,Often (At least once a week),Grammarly,No
Ananya Pandey,Univ. Of Delhi,23,commerce,Never,Midjourney,Yes
Vihaan Chopra,IIsc,22,science,Rarely (A few times a semester at most),Others,No
Aadhya Kapoor,Anna Univ.,24,science,Often (At least once a week),Bing AI,Yes
Aarav Patel,Anna Univ.,18,others,Sometimes (At least once a month),Grammarly,Yes
Ayaan Rao,Univ. Of Delhi,25,commerce,Never,Grammarly,No
Sai Verma,Univ. Of Delhi,23,commerce,Rarely (A few times a semester at most),Research Rabbit,Yes
Aadhya Mishra,Jadavpur Univ.,19,arts,Often (At least once a week),Others,No
Sai Iyer,Anna Univ.,21,others,Sometimes (At least once a month),Bing AI,Yes
Aarav Kumar,IIsc,18,commerce,Rarely (A few times a semester at most),ChatGPT,No
Ananya Bose,Univ. Of Delhi,19,arts,Often (At least once a week),Elicit,No
Saanvi Iyer,IIsc,21,others,Often (At least once a week),DALL-E,Yes
Vihaan Singh,Anna Univ.,25,arts,Never,Midjourney,Yes
Diya Verma,Anna Univ.,19,science,Never,ChatGPT,Yes
Ishaan Patel,Univ. Of Delhi,24,science,Rarely (A few times a semester at most),Grammarly,No
Ira Iyer,Univ. Of Delhi,18,arts,Often (At least once a week),Elicit,Yes
Ishaan Nair,Jadavpur Univ.,23,science,Sometimes (At least once a month),Elicit,Yes
Ira Patel,Anna Univ.,22,science,Never,DALL-E,No
Ayaan Bose,VIT(Vellore),23,science,Sometimes (At least once a month),Grammarly,Yes
Aditya Verma,Manipal Univ.,18,others,Rarely (A few times a semester at most),ChatGPT,No
Aditya Verma,IIsc,18,arts,Rarely (A few times a semester at most),ChatGPT,No
Ayaan Singh,Univ. Of Delhi,23,science,Rarely (A few times a semester at most),Midjourney,No
Reyansh Bose,IIsc,23,science,Never,Research Rabbit,Yes
Lakshmi Sharma,Anna Univ.,19,science,Never,Midjourney,Yes
Aarav Nair,Anna Univ.,24,commerce,Never,Grammarly,No
Aarohi Naidu,Univ. Of Delhi,21,others,Rarely (A few times a semester at most),Elicit,Yes
Vivaan Desai,Univ. Of Delhi,18,others,Sometimes (At least once a month),ChatGPT,No
Lakshmi Reddy,Jadavpur Univ.,20,arts,Sometimes (At least once a month),Research Rabbit,Yes
Ira Kumar,Anna Univ.,18,commerce,Often (At least once a week),Research Rabbit,No
Arjun Rao,IIsc,20,science,Often (At least once a week),Research Rabbit,No
Ishaan Kumar,Univ. Of Delhi,24,science,Sometimes (At least once a month),Research Rabbit,No
Saanvi Das,IIsc,19,others,Rarely (A few times a semester at most),ChatGPT,Yes
Vihaan Gupta,Anna Univ.,24,commerce,Often (At least once a week),Elicit,No
Krishna Naidu,Anna Univ.,22,commerce,Often (At least once a week),DALL-E,Yes
Aadhya Reddy,Univ. Of Delhi,21,arts,Rarely (A few times a semester at most),Midjourney,Yes
Saanvi Mehta,Univ. Of Delhi,21,others,Sometimes (At least once a month),Bing AI,Yes
Vivaan Verma,Jadavpur Univ.,25,commerce,Sometimes (At least once a month),Midjourney,No
Vihaan Nair,Anna Univ.,18,arts,Sometimes (At least once a month),Others,No
Shanaya Sharma,VIT(Vellore),18,others,Often (At least once a week),ChatGPT,Yes
Diya Rao,Manipal Univ.,21,arts,Sometimes (At least once a month),Research Rabbit,No
Lakshmi Das,IIsc,22,science,Rarely (A few times a semester at most),ChatGPT,Yes
Ishaan Verma,Univ. Of Delhi,19,science,Never,DALL-E,Yes
Ishaan Mehta,IIsc,22,arts,Rarely (A few times a semester at most),Midjourney,No
Krishna Kapoor,Anna Univ.,24,science,Often (At least once a week),Research Rabbit,No
Aadhya Gupta,Anna Univ.,23,science,Rarely (A few times a semester at most),Midjourney,No
Reyansh Nair,Univ. Of Delhi,24,science,Sometimes (At least once a month),Midjourney,Yes
Shanaya Patel,Univ. Of Delhi,23,others,Often (At least once a week),Midjourney,Yes
Anika Patel,Jadavpur Univ.,20,arts,Rarely (A few times a semester at most),Elicit,Yes
Aarohi Chopra,Anna Univ.,23,science,Rarely (A few times a semester at most),DALL-E,Yes
Lakshmi Chopra,Univ. Of Delhi,24,science,Never,Others,Yes
Aadhya Das,Univ. Of Delhi,21,science,Often (At least once a week),Grammarly,No
Shanaya Mishra,Jadavpur Univ.,22,commerce,Never,Midjourney,Yes
Aarohi Pandey,Anna Univ.,20,others,Often (At least once a week),Research Rabbit,No
Reyansh Mehta,IIsc,24,others,Sometimes (At least once a month),DALL-E,Yes
Lakshmi Verma,Univ. Of Delhi,24,arts,Rarely (A few times a semester at most),Grammarly,Yes
Pihu Pandey,IIsc,20,arts,Rarely (A few times a semester at most),Grammarly,No
Ayaan Das,Anna Univ.,18,others,Often (At least once a week),Research Rabbit,Yes
Arjun Reddy,Anna Univ.,22,commerce,Never,Bing AI,No
Ira Sharma,Univ. Of Delhi,20,arts,Rarely (A few times a semester at most),Others,No
Lakshmi Sharma,Univ. Of Delhi,18,others,Rarely (A few times a semester at most),DALL-E,No
Ira Kapoor,Jadavpur Univ.,18,arts,Often (At least once a week),Elicit,No
Ira Patel,Anna Univ.,19,science,Rarely (A few times a semester at most),Bing AI,No
Reyansh Nair,VIT(Vellore),21,science,Often (At least once a week),Midjourney,No
Sai Naidu,Manipal Univ.,21,arts,Often (At least once a week),Midjourney,No
Ayaan Mehta,IIsc,25,science,Never,Midjourney,Yes
Ayaan Das,Univ. Of Delhi,22,science,Never,Bing AI,No
Ayaan Joshi,IIsc,24,science,Rarely (A few times a semester at most),Midjourney,Yes
Ira Nair,Anna Univ.,21,others,Often (At least once a week),Elicit,No
Aditya Chopra,Anna Univ.,18,arts,Often (At least once a week),DALL-E,No
Vihaan Pandey,Univ. Of Delhi,19,science,Never,Elicit,No
Diya Pandey,Univ. Of Delhi,21,science,Often (At least once a week),Research Rabbit,Yes
Vihaan Kumar,Jadavpur Univ.,19,science,Sometimes (At least once a month),Elicit,No
Arjun Desai,Anna Univ.,25,commerce,Sometimes (At least once a month),Midjourney,Yes
Shanaya Kumar,Univ. Of Delhi,19,others,Rarely (A few times a semester at most),DALL-E,No
Aarohi Gupta,Univ. Of Delhi,25,others,Rarely (A few times a semester at most),ChatGPT,No
Lakshmi Kapoor,Jadavpur Univ.,20,arts,Sometimes (At least once a month),Grammarly,No
Sai Das,Anna Univ.,20,commerce,Never,Bing AI,No
Reyansh Das,IIsc,19,science,Rarely (A few times a semester at most),Grammarly,Yes
Arjun Sharma,Univ. Of Delhi,18,science,Rarely (A few times a semester at most),Midjourney,Yes
Vivaan Das,IIsc,21,others,Rarely (A few times a semester at most),Grammarly,Yes
Krishna Sharma,Anna Univ.,20,commerce,Often (At least once a week),Others,No
Anika Joshi,Anna Univ.,20,commerce,Sometimes (At least once a month),Research Rabbit,Yes
Ananya Kapoor,Univ. Of Delhi,23,arts,Rarely (A few times a semester at most),Grammarly,No
Sai Singh,Univ. Of Delhi,22,others,Often (At least once a week),Research Rabbit,Yes
Aarohi Das,Jadavpur Univ.,22,commerce,Never,Midjourney,No
Saanvi Sharma,Anna Univ.,25,arts,Rarely (A few times a semester at most),ChatGPT,No
Aadhya Joshi,VIT(Vellore),22,others,Never,Grammarly,Yes
Ira Kumar,Manipal Univ.,22,arts,Often (At least once a week),Bing AI,No
Anika Patel,IIsc,22,science,Rarely (A few times a semester at most),ChatGPT,Yes
Ira Gupta,Univ. Of Delhi,23,science,Never,Elicit,Yes
Ishaan Reddy,IIsc,23,arts,Rarely (A few times a semester at most),ChatGPT,No
Shanaya Chopra,Anna Univ.,25,science,Rarely (A few times a semester at most),ChatGPT,No
Saanvi Patel,Anna Univ.,18,science,Rarely (A few times a semester at most),Bing AI,No
Ishaan Mehta,Univ. Of Delhi,22,science,Rarely (A few times a semester at most),Research Rabbit,No
Aarohi Pandey,Univ. Of Delhi,22,others,Sometimes (At least once a month),ChatGPT,No
Vivaan Chopra,Jadavpur Univ.,20,arts,Never,DALL-E,No
Diya Chopra,Anna Univ.,18,science,Often (At least once a week),Bing AI,No
Ishaan Naidu,Univ. Of Delhi,18,science,Sometimes (At least once a month),ChatGPT,No
Arjun Verma,Univ. Of Delhi,22,science,Often (At least once a week),Midjourney,Yes
Aarav Desai,Jadavpur Univ.,25,commerce,Rarely (A few times a semester at most),Others,No
Aditya Reddy,Anna Univ.,20,others,Rarely (A few times a semester at most),Elicit,Yes
Saanvi Sharma,IIsc,22,others,Sometimes (At least once a month),ChatGPT,No
Vihaan Das,Univ. Of Delhi,20,arts,Never,Others,Yes
Diya Naidu,IIsc,19,commerce,Never,ChatGPT,Yes
Saanvi Sharma,Anna Univ.,22,science,Often (At least once a week),Research Rabbit,No
Diya Mehta,Anna Univ.,24,science,Often (At least once a week),ChatGPT,Yes
Diya Iyer,Univ. Of Delhi,18,others,Often (At least once a week),Elicit,No
Aadhya Patel,Univ. Of Delhi,22,commerce,Never,Bing AI,Yes
Aditya Joshi,Jadavpur Univ.,18,commerce,Never,DALL-E,Yes
Diya Sharma,Anna Univ.,24,arts,Rarely (A few times a semester at most),ChatGPT,No
Ira Mishra,VIT(Vellore),22,others,Sometimes (At least once a month),ChatGPT,Yes
Vivaan Kapoor,Manipal Univ.,18,commerce,Rarely (A few times a semester at most),ChatGPT,No
Sai Mishra,IIsc,20,arts,Rarely (A few times a semester at most),Research Rabbit,Yes
Shanaya Kumar,Univ. Of Delhi,25,others,Often (At least once a week),Research Rabbit,No
Ananya Mehta,IIsc,21,arts,Rarely (A few times a semester at most),Elicit,Yes
Ananya Nair,Anna Univ.,22,science,Often (At least once a week),Midjourney,No
Aarav Singh,Anna Univ.,24,science,Sometimes (At least once a month),Bing AI,Yes
Aarohi Mishra,Univ. Of Delhi,24,arts,Sometimes (At least once a month),Bing AI,Yes
Ishaan Pandey,Univ. Of Delhi,20,science,Rarely (A few times a semester at most),Bing AI,Yes
Diya Pandey,Jadavpur Univ.,24,science,Never,DALL-E,No
Ananya Kumar,Anna Univ.,25,science,Never,Elicit,Yes
Reyansh Mishra,Univ. Of Delhi,22,others,Rarely (A few times a semester at most),Midjourney,No
Aarav Bose,Univ. Of Delhi,23,arts,Rarely (A few times a semester at most),Research Rabbit,Yes
Diya Reddy,Jadavpur Univ.,21,science,Often (At least once a week),DALL-E,Yes
Diya Mishra,Anna Univ.,18,science,Never,Grammarly,No
Ishaan Chopra,IIsc,21,science,Often (At least once a week),Elicit,Yes
Aarohi Gupta,Univ. Of Delhi,18,commerce,Rarely (A few times a semester at most),Bing AI,No
Arjun Iyer,IIsc,23,others,Often (At least once a week),ChatGPT,Yes
Arjun Bose,Anna Univ.,24,others,Never,Grammarly,No
Ananya Kumar,Anna Univ.,23,arts,Never,Midjourney,No
Anika Bose,Univ. Of Delhi,22,arts,Often (At least once a week),Others,No
Ishaan Kumar,Univ. Of Delhi,23,others,Often (At least once a week),Midjourney,No
Vivaan Desai,Jadavpur Univ.,23,commerce,Often (At least once a week),Grammarly,No
Diya Mehta,Anna Univ.,22,arts,Never,Elicit,Yes
Pihu Kumar,VIT(Vellore),20,others,Often (At least once a week),Others,Yes
Ananya Singh,Manipal Univ.,23,arts,Often (At least once a week),DALL-E,Yes
Lakshmi Gupta,IIsc,21,science,Often (At least once a week),Elicit,Yes
Saanvi Iyer,Univ. Of Delhi,19,science,Never,Research Rabbit,Yes
Ayaan Mishra,IIsc,19,arts,Often (At least once a week),Elicit,Yes
Saanvi Reddy,Anna Univ.,21,science,Never,ChatGPT,No
Aarav Verma,Anna Univ.,19,science,Often (At least once a week),Others,No
Saanvi Gupta,Univ. Of Delhi,18,science,Often (At least once a week),DALL-E,No
Vivaan Mishra,Univ. Of Delhi,25,others,Rarely (A few times a semester at most),Midjourney,Yes
Ayaan Bose,Jadavpur Univ.,22,arts,Often (At least once a week),Others,Yes
Ananya Nair,Anna Univ.,24,science,Sometimes (At least once a month),Research Rabbit,No
Anika Rao,Univ. Of Delhi,24,science,Rarely (A few times a semester at most),Bing AI,No
Diya Pandey,Univ. Of Delhi,19,science,Never,DALL-E,No
Ishaan Gupta,Jadavpur Univ.,24,commerce,Sometimes (At least once a month),Research Rabbit,Yes
Anika Reddy,Anna Univ.,20,others,Often (At least once a week),Midjourney,No
Reyansh Chopra,IIsc,19,others,Never,Grammarly,No
Lakshmi Pandey,Univ. Of Delhi,24,arts,Rarely (A few times a semester at most),ChatGPT,Yes
Ayaan Chopra,IIsc,19,commerce,Never,Bing AI,Yes
Aarohi Naidu,Anna Univ.,18,science,Sometimes (At least once a month),Bing AI,No
Aarav Kumar,Anna Univ.,24,science,Sometimes (At least once a month),Others,Yes
Aarav Desai,Univ. Of Delhi,18,others,Sometimes (At least once a month),Grammarly,No
Sai Iyer,Univ. Of Delhi,25,commerce,Rarely (A few times a semester at most),DALL-E,Yes
Diya Pandey,Jadavpur Univ.,21,commerce,Never,DALL-E,Yes
Saanvi Rao,Anna Univ.,23,arts,Often (At least once a week),Midjourney,No
Diya Desai,VIT(Vellore),25,others,Sometimes (At least once a month),DALL-E,Yes
Aditya Chopra,Manipal Univ.,19,commerce,Never,DALL-E,Yes
Aadhya Kumar,IIsc,18,arts,Rarely (A few times a semester at most),Others,No
Ishaan Chopra,Univ. Of Delhi,21,others,Often (At least once a week),Bing AI,Yes
Lakshmi Gupta,IIsc,22,arts,Never,ChatGPT,Yes
Ira Nair,Anna Univ.,20,science,Often (At least once a week),Others,No
Aditya Mishra,Anna Univ.,19,science,Sometimes (At least once a month),DALL-E,Yes
Vivaan Patel,Univ. Of Delhi,23,arts,Often (At least once a week),Others,Yes
Arjun Gupta,Univ. Of Delhi,25,science,Sometimes (At least once a month),ChatGPT,No
Ira Mishra,Jadavpur Univ.,24,science,Never,Research Rabbit,Yes
Sai Bose,Anna Univ.,21,science,Often (At least once a week),ChatGPT,No
Shanaya Mehta,Univ. Of Delhi,25,others,Sometimes (At least once a month),Bing AI,No
Lakshmi Iyer,Univ. Of Delhi,25,arts,Often (At least once a week),DALL-E,No
Aarohi Joshi,Jadavpur Univ.,19,science,Never,ChatGPT,No
Pihu Verma,Anna Univ.,18,science,Never,DALL-E,Yes
Pihu Sharma,IIsc,18,science,Rarely (A few times a semester at most),Grammarly,No
Vivaan Das,Univ. Of Delhi,22,commerce,Never,Bing AI,No
Sai Kumar,IIsc,18,others,Rarely (A few times a semester at most),Elicit,Yes
Aditya Reddy,Anna Univ.,18,others,Often (At least once a week),Research Rabbit,No
Anika Das,Anna Univ.,18,arts,Sometimes (At least once a month),Midjourney,Yes
Vivaan Desai,Univ. Of Delhi,25,commerce,Rarely (A few times a semester at most),DALL-E,Yes
Vivaan Das,Univ. Of Delhi,25,science,Sometimes (At least once a month),DALL-E,Yes
Ananya Das,Jadavpur Univ.,23,science,Rarely (A few times a semester at most),Elicit,No
Ayaan Kapoor,Anna Univ.,18,others,Often (At least once a week),Research Rabbit,Yes
Vivaan Singh,VIT(Vellore),25,commerce,Rarely (A few times a semester at most),Grammarly,No
Ira Singh,Manipal Univ.,22,commerce,Often (At least once a week),Grammarly,No
Ishaan Iyer,IIsc,19,arts,Rarely (A few times a semester at most),Others,No
Aditya Desai,Univ. Of Delhi,22,others,Sometimes (At least once a month),Elicit,Yes
Anika Mehta,IIsc,25,commerce,Rarely (A few times a semester at most),Elicit,Yes
Lakshmi Nair,Anna Univ.,23,arts,Often (At least once a week),Bing AI,Yes
Ishaan Rao,Anna Univ.,18,others,Sometimes (At least once a month),Bing AI,Yes
Ishaan Pandey,Univ. Of Delhi,25,arts,Often (At least once a week),Grammarly,No
Pihu Nair,Univ. Of Delhi,20,science,Rarely (A few times a semester at most),Bing AI,Yes
Aadhya Reddy,Jadavpur Univ.,21,science,Sometimes (At least once a month),Midjourney,Yes
Ananya Patel,Anna Univ.,21,arts,Sometimes (At least once a month),Bing AI,No
Ira Rao,Univ. Of Delhi,21,science,Never,Midjourney,Yes
Anika Joshi,Univ. Of Delhi,23,science,Never,Grammarly,No
Vivaan Mishra,Jadavpur Univ.,18,science,Sometimes (At least once a month),ChatGPT,No
Aadhya Gupta,Anna Univ.,21,others,Sometimes (At least once a month),Grammarly,Yes
Sai Iyer,IIsc,23,arts,Rarely (A few times a semester at most),ChatGPT,Yes
Aditya Reddy,Univ. Of Delhi,23,science,Sometimes (At least once a month),Others,No
Lakshmi Rao,IIsc,22,science,Never,Research Rabbit,Yes
Arjun Mishra,Anna Univ.,19,science,Often (At least once a week),Elicit,Yes
Arjun Singh,Anna Univ.,23,commerce,Sometimes (At least once a month),Grammarly,No
Lakshmi Bose,Univ. Of Delhi,24,others,Sometimes (At least once a month),Grammarly,No
Shanaya Das,Univ. Of Delhi,25,others,Never,Research Rabbit,Yes
Aarohi Rao,Jadavpur Univ.,24,arts,Rarely (A few times a semester at most),Midjourney,No
Ananya Desai,Anna Univ.,20,arts,Rarely (A few times a semester at most),ChatGPT,No
Anika Gupta,VIT(Vellore),22,others,Rarely (A few times a semester at most),Others,Yes
Aditya Iyer,Manipal Univ.,24,commerce,Never,Midjourney,No
Vihaan Joshi,IIsc,22,arts,Sometimes (At least once a month),ChatGPT,Yes
Ishaan Das,Univ. Of Delhi,25,others,Never,Elicit,Yes
Shanaya Joshi,IIsc,23,arts,Often (At least once a week),Grammarly,No
Aadhya Das,Anna Univ.,21,science,Sometimes (At least once a month),DALL-E,No
Diya Rao,Anna Univ.,20,science,Often (At least once a week),Bing AI,No
Shanaya Desai,Univ. Of Delhi,24,arts,Never,Grammarly,No
Vivaan Singh,Univ. Of Delhi,19,science,Sometimes (At least once a month),Midjourney,Yes
Sai Gupta,Jadavpur Univ.,22,science,Often (At least once a week),Others,Yes
Aadhya Patel,Anna Univ.,25,science,Never,DALL-E,Yes
Ishaan Mishra,Univ. Of Delhi,18,others,Sometimes (At least once a month),Grammarly,Yes
Vivaan Patel,Univ. Of Delhi,23,arts,Often (At least once a week),Midjourney,No
Ayaan Mehta,Jadavpur Univ.,24,science,Rarely (A few times a semester at most),Bing AI,Yes
Arjun Pandey,Anna Univ.,25,science,Sometimes (At least once a month),Bing AI,No
Vihaan Mishra,IIsc,19,science,Sometimes (At least once a month),Others,Yes
Ananya Joshi,Univ. Of Delhi,23,commerce,Sometimes (At least once a month),Elicit,No
Diya Mehta,IIsc,20,others,Often (At least once a week),Midjourney,Yes
Anika Singh,Anna Univ.,20,others,Never,ChatGPT,No
Reyansh Rao,Anna Univ.,18,arts,Never,Elicit,Yes
Diya Naidu,Univ. Of Delhi,19,commerce,Rarely (A few times a semester at most),Grammarly,No
Aditya Desai,Univ. Of Delhi,25,science,Never,Others,No
Ayaan Rao,Jadavpur Univ.,21,science,Never,Others,No
Lakshmi Pandey,Anna Univ.,20,others,Rarely (A few times a semester at most),Midjourney,No
Vivaan Naidu,VIT(Vellore),19,commerce,Sometimes (At least once a month),Others,No
Arjun Verma,Manipal Univ.,23,commerce,Rarely (A few times a semester at most),Grammarly,No
Reyansh Kapoor,IIsc,18,arts,Sometimes (At least once a month),Others,No
Aarav Bose,Univ. Of Delhi,23,others,Often (At least once a week),DALL-E,Yes
Saanvi Kapoor,IIsc,20,commerce,Often (At least once a week),Bing AI,Yes
Anika Chopra,Anna Univ.,18,arts,Rarely (A few times a semester at most),Grammarly,Yes
Shanaya Rao,Anna Univ.,23,others,Often (At least once a week),Elicit,No
Ira Gupta,Univ. Of Delhi,24,arts,Sometimes (At least once a month),DALL-E,No
Arjun Mishra,Univ. Of Delhi,25,science,Never,Elicit,No
Sai Nair,Jadavpur Univ.,19,science,Rarely (A few times a semester at most),Elicit,No
Aditya Chopra,Anna Univ.,20,arts,Never,ChatGPT,Yes
Lakshmi Chopra,Univ. Of Delhi,18,science,Rarely (A few times a semester at most),Research Rabbit,No
Krishna Sharma,Univ. Of Delhi,22,science,Rarely (A few times a semester at most),ChatGPT,Yes
Vihaan Iyer,Jadavpur Univ.,21,science,Rarely (A few times a semester at most),Bing AI,Yes
Aditya Gupta,Anna Univ.,18,others,Rarely (A few times a semester at most),Others,No
Vihaan Sharma,IIsc,19,arts,Sometimes (At least once a month),Research Rabbit,Yes
Aditya Mishra,Univ. Of Delhi,24,science,Often (At least once a week),DALL-E,No
Pihu Mehta,IIsc,20,science,Sometimes (At least once a month),Bing AI,Yes
Ayaan Pandey,IIsc,21,science,Sometimes (At least once a month),Elicit,No
Vivaan Chopra,Univ. Of Delhi,19,commerce,Often (At least once a week),Others,Yes
Pihu Nair,IIsc,24,others,Often (At least once a week),Midjourney,No
Ananya Patel,Anna Univ.,19,others,Rarely (A few times a semester at most),Grammarly,Yes
Aadhya Desai,Anna Univ.,18,arts,Rarely (A few times a semester at most),ChatGPT,No
Sai Gupta,Univ. Of Delhi,18,commerce,Sometimes (At least once a month),Bing AI,Yes
Reyansh Reddy,Anna Univ.,18,science,Often (At least once a week),DALL-E,No
Sai Verma,Anna Univ.,24,science,Sometimes (At least once a month),Grammarly,Yes
Anika Nair,Univ. Of Delhi,23,others,Never,Elicit,Yes
Ira Verma,Univ. Of Delhi,24,commerce,Never,Grammarly,No
Aarohi Bose,Jadavpur Univ.,19,commerce,Rarely (A few times a semester at most),Midjourney,No
Sai Bose,IIsc,21,arts,Often (At least once a week),DALL-E,Yes
Vihaan Patel,Univ. Of Delhi,24,others,Never,Others,Yes
Anika Reddy,IIsc,24,commerce,Rarely (A few times a semester at most),Midjourney,Yes
Krishna Joshi,Anna Univ.,23,arts,Sometimes (At least once a month),Grammarly,Yes
Aarohi Kumar,Anna Univ.,21,others,Often (At least once a week),DALL-E,Yes
